iter	MultiClass
0	1.38409989
1	1.382674945
2	1.381622681
3	1.380437853
4	1.379132844
5	1.377773832
6	1.376609877
7	1.374623209
8	1.372915345
9	1.371028034
10	1.369713841
11	1.367737859
12	1.366686645
13	1.364428462
14	1.362737731
15	1.361985468
16	1.360233291
17	1.35877603
18	1.356966723
19	1.355622998
20	1.353436295
21	1.351680745
22	1.350403651
23	1.348662207
24	1.346711779
25	1.345143186
26	1.343320991
27	1.341939438
28	1.340355637
29	1.338562954
30	1.336928902
31	1.334958286
32	1.332815481
33	1.3307159
34	1.329159413
35	1.327296144
36	1.32583405
37	1.323856939
38	1.321738082
39	1.319992249
40	1.318817272
41	1.316903966
42	1.315117774
43	1.313916001
44	1.312715671
45	1.310974918
46	1.310089959
47	1.309095726
48	1.307909182
49	1.306696089
50	1.305432333
51	1.304041245
52	1.302838294
53	1.30107961
54	1.299629021
55	1.298133573
56	1.297454501
57	1.295590051
58	1.29446457
59	1.293503368
60	1.291916294
61	1.290524376
62	1.289523788
63	1.288064972
64	1.287533963
65	1.285639961
66	1.284754301
67	1.283563946
68	1.282846944
69	1.282250854
70	1.280684319
71	1.279638747
72	1.278637695
73	1.277605778
74	1.276268448
75	1.275225988
76	1.274230202
77	1.27359888
78	1.272525314
79	1.271404254
80	1.270768757
81	1.269594509
82	1.268787236
83	1.266630347
84	1.265612196
85	1.264571199
86	1.263291359
87	1.261746445
88	1.260125245
89	1.259309401
90	1.258492051
91	1.257419055
92	1.256567003
93	1.255728527
94	1.25489282
95	1.253530339
96	1.252761211
97	1.250903649
98	1.249942697
99	1.24834224
100	1.247679728
101	1.245973679
102	1.244834372
103	1.24342382
104	1.242428789
105	1.24090027
106	1.239255862
107	1.23804151
108	1.236601675
109	1.23528595
110	1.234494602
111	1.232737218
112	1.231288908
113	1.230050043
114	1.229209214
115	1.228235632
116	1.227680983
117	1.22664769
118	1.225595208
119	1.223124318
120	1.222444678
121	1.221608658
122	1.220569768
123	1.219914384
124	1.21889743
125	1.218034894
126	1.217152929
127	1.215876309
128	1.214970483
129	1.213502058
130	1.212575319
131	1.211020515
132	1.21011112
133	1.208892554
134	1.20772511
135	1.206780505
136	1.205788072
137	1.204394938
138	1.203231088
139	1.202135886
140	1.201595986
141	1.200380798
142	1.199751255
143	1.198845722
144	1.19787901
145	1.196698572
146	1.195335732
147	1.194471814
148	1.193148636
149	1.19238086
150	1.19153145
151	1.190770958
152	1.189844411
153	1.189314928
154	1.187991789
155	1.186744264
156	1.185510805
157	1.184577325
158	1.183501233
159	1.182347567
160	1.180984497
161	1.180337115
162	1.179493647
163	1.177787191
164	1.176791059
165	1.176277068
166	1.175316456
167	1.174171685
168	1.173381652
169	1.172709048
170	1.171318818
171	1.170037043
172	1.168735621
173	1.167755762
174	1.166837729
175	1.165533491
176	1.164119301
177	1.163346943
178	1.161037168
179	1.159720365
180	1.158222792
181	1.157223528
182	1.156246271
183	1.155651612
184	1.154278197
185	1.15331028
186	1.152262777
187	1.151455485
188	1.150841942
189	1.149632095
190	1.148905521
191	1.148149616
192	1.147445131
193	1.146751221
194	1.145580481
195	1.144467974
196	1.142692497
197	1.141704523
198	1.141412814
199	1.140629635
200	1.139129933
201	1.138583749
202	1.137600003
203	1.136544827
204	1.136127339
205	1.134968166
206	1.133956494
207	1.132599224
208	1.131569179
209	1.130650984
210	1.129705522
211	1.128905385
212	1.128094288
213	1.127120148
214	1.125417499
215	1.12450557
216	1.123739222
217	1.122557654
218	1.120651356
219	1.119479066
220	1.118651264
221	1.117781797
222	1.116785327
223	1.114927023
224	1.113579211
225	1.113156766
226	1.111839118
227	1.11069601
228	1.1095655
229	1.108306206
230	1.107408333
231	1.106008905
232	1.105092325
233	1.10391989
234	1.102956768
235	1.101690971
236	1.099718651
237	1.098794982
238	1.097854765
239	1.096727295
240	1.095543655
241	1.094523542
242	1.093877967
243	1.092755342
244	1.091486204
245	1.0909101
246	1.090362524
247	1.08843072
248	1.087062676
249	1.086119973
250	1.085143547
251	1.083354619
252	1.081819506
253	1.07994797
254	1.079141532
255	1.078563913
256	1.077466859
257	1.076733941
258	1.076325922
259	1.07549312
260	1.074439944
261	1.074061519
262	1.072614444
263	1.071358668
264	1.069985575
265	1.069143198
266	1.068057683
267	1.066761
268	1.06530062
269	1.064342191
270	1.062893195
271	1.061691698
272	1.06015345
273	1.059717331
274	1.058240309
275	1.0571478
276	1.055947979
277	1.05531258
278	1.05393006
279	1.052974974
280	1.052392845
281	1.051807084
282	1.051012941
283	1.049941875
284	1.04916895
285	1.047825798
286	1.047284883
287	1.045216894
288	1.044199629
289	1.042311373
290	1.04183418
291	1.040862725
292	1.039452155
293	1.038568772
294	1.038031963
295	1.037574158
296	1.036598214
297	1.035483834
298	1.034428561
299	1.033257994
