iter	Passed	Remaining
0	3	672
1	5	562
2	7	514
3	10	494
4	12	483
5	14	469
6	16	461
7	18	453
8	21	446
9	23	441
10	25	439
11	27	434
12	29	429
13	32	427
14	34	424
15	36	420
16	38	418
17	41	416
18	43	413
19	45	409
20	47	406
21	49	403
22	52	400
23	54	398
24	56	395
25	58	392
26	60	390
27	63	387
28	65	384
29	67	382
30	69	379
31	71	377
32	74	374
33	76	372
34	78	370
35	80	368
36	83	366
37	85	363
38	87	361
39	89	359
40	91	356
41	94	354
42	96	351
43	98	349
44	101	348
45	104	351
46	107	349
47	109	347
48	111	344
49	114	342
50	116	339
51	118	337
52	120	334
53	122	332
54	125	329
55	127	327
56	129	324
57	131	322
58	133	320
59	136	317
60	138	315
61	140	313
62	143	311
63	145	308
64	147	306
65	149	303
66	151	301
67	154	299
68	156	296
69	158	294
70	160	291
71	162	289
72	167	290
73	171	291
74	173	289
75	175	286
76	177	284
77	180	281
78	182	279
79	184	276
80	186	274
81	190	274
82	194	273
83	196	271
84	198	268
85	200	266
86	203	263
87	205	261
88	207	258
89	209	255
90	212	254
91	215	252
92	218	251
93	220	248
94	222	246
95	224	243
96	227	241
97	229	238
98	231	236
99	233	233
100	235	231
101	238	228
102	240	226
103	242	223
104	244	221
105	247	219
106	249	216
107	251	214
108	253	212
109	256	209
110	258	207
111	260	204
112	262	202
113	265	200
114	267	197
115	269	195
116	271	192
117	274	190
118	276	188
119	279	186
120	281	183
121	283	181
122	285	178
123	287	176
124	290	174
125	292	172
126	295	169
127	297	167
128	299	164
129	301	162
130	304	160
131	306	157
132	308	155
133	311	153
134	313	150
135	315	148
136	318	146
137	320	143
138	322	141
139	324	139
140	327	136
141	329	134
142	331	132
143	333	129
144	336	127
145	338	125
146	340	122
147	342	120
148	345	118
149	347	115
150	349	113
151	352	111
152	354	108
153	356	106
154	358	104
155	361	101
156	363	99
157	365	97
158	367	94
159	369	92
160	372	90
161	374	87
162	376	85
163	378	83
164	380	80
165	383	78
166	385	76
167	387	73
168	390	71
169	392	69
170	394	66
171	396	64
172	398	62
173	401	59
174	403	57
175	405	55
176	407	52
177	409	50
178	412	48
179	414	46
180	416	43
181	418	41
182	420	39
183	422	36
184	425	34
185	427	32
186	429	29
187	431	27
188	433	25
189	435	22
190	438	20
191	440	18
192	442	16
193	444	13
194	447	11
195	449	9
196	451	6
197	453	4
198	455	2
199	458	0
